time,cmd_dq,state_dq
7.28,2.51924,2.4253
7.29,2.5354,2.05984
7.3,2.55131,2.32563
7.31,2.56696,2.05984
7.32,2.58236,2.29905
7.33,2.5975,2.50503
7.34,2.61238,2.00669
7.35,2.627,2.49175
7.36,2.64136,2.50503
7.37,2.65545,1.98011
7.38,2.66927,2.31234
7.39,2.68283,2.29905
7.4,2.69612,2.23925
7.41,2.70915,2.29905
7.42,2.7219,2.39208
7.43,2.73437,2.01997
7.44,2.74658,2.21267
7.45,2.75851,2.45188
7.46,2.77016,2.61799
7.47,2.78154,2.27247
7.48,2.79264,2.27247
7.49,2.80346,2.51832
7.5,2.814,2.49175
7.51,2.82426,2.63128
7.52,2.83423,2.47846
7.53,2.84393,2.18609
7.54,2.85333,2.56484
7.55,2.86246,2.59142
7.56,2.87129,2.39208
7.57,2.87984,2.33892
7.58,2.8881,2.39208
7.59,2.89608,2.46517
7.6,2.90376,2.59142
7.61,2.91115,2.35221
7.62,2.91825,2.4253
7.63,2.92506,2.61799
7.64,2.93158,2.61799
7.65,2.9378,2.82398
7.66,2.94373,2.69773
7.67,2.94937,2.39208
7.68,2.95471,2.29905
7.69,2.95976,2.56484
7.7,2.9645,2.39208
7.71,2.96896,2.49175
7.72,2.97311,2.59142
7.73,2.97697,2.53161
7.74,2.98053,2.5449
7.75,2.9838,2.61799
7.76,2.98676,2.65786
7.77,2.98943,2.67115
7.78,2.99179,2.59142
7.79,2.99386,2.6047
7.8,2.99563,2.77082
7.81,2.9971,2.74424
7.82,2.99827,2.65786
7.83,2.99914,2.37879
7.84,2.99971,2.56484
7.85,2.99998,2.69773
7.86,2.99995,2.77082
7.87,2.99962,2.77082
7.88,2.99898,3.02332
7.89,2.99805,2.83727
7.9,2.99682,2.74424
7.91,2.99529,2.75753
7.92,2.99346,2.46517
7.93,2.99134,2.4253
7.94,2.98891,2.63128
7.95,2.98618,2.37879
7.96,2.98316,2.41201
7.97,2.97983,2.75753
7.98,2.97621,2.87049
7.99,2.97229,2.91036
8,2.96807,2.7974
8.01,2.96356,2.5449
8.02,2.95875,2.5449
8.03,2.95365,2.43859
8.04,2.94825,2.61799
8.05,2.94255,2.41201
8.06,2.93656,2.41201
8.07,2.93028,2.56484
8.08,2.9237,2.81069
8.09,2.91683,2.7974
8.1,2.90967,2.65786
8.11,2.90222,2.49175
8.12,2.89448,2.28576
8.13,2.88644,2.5449
8.14,2.87812,2.45188
8.15,2.86952,2.46517
8.16,2.86062,2.41201
8.17,2.85144,2.41201
8.18,2.84198,2.47846
8.19,2.83223,2.6047
8.2,2.82219,2.32563
8.21,2.81188,2.3655
8.22,2.80128,2.3655
8.23,2.7904,2.73095
8.24,2.77925,2.68444
8.25,2.76781,2.4253
8.26,2.7561,2.29905
8.27,2.74412,2.3655
8.28,2.73186,2.67115
8.29,2.71932,2.71766
8.3,2.70652,2.45188
8.31,2.69344,2.39208
8.32,2.68009,2.61799
8.33,2.66648,2.81069
8.34,2.6526,2.27247
8.35,2.63845,2.33892
8.36,2.62404,2.43859
8.37,2.60937,2.33892
8.38,2.59444,2.32563
8.39,2.57925,2.51832
8.4,2.5638,2.18609
8.41,2.54809,2.3655
8.42,2.53213,2.47846
8.43,2.51591,2.19938
8.44,2.49945,1.9934
8.45,2.48273,2.05984
8.46,2.46577,2.22596
8.47,2.44856,2.35221
8.48,2.4311,1.96682
8.49,2.4134,2.39208
8.5,2.39546,1.94688
8.51,2.37728,2.05984
8.52,2.35886,1.75419
8.53,2.34021,2.28576
8.54,2.32132,1.85386
8.55,2.3022,2.14622
8.56,2.28285,1.86715
8.57,2.26328,2.00669
8.58,2.24347,2.07313
8.59,2.22344,1.89373
8.6,2.20319,1.93359
8.61,2.18272,1.7409
8.62,2.16203,1.94688
8.63,2.14112,1.58807
8.64,2.12,1.81399
8.65,2.09867,1.96682
8.66,2.07713,1.88044
8.67,2.05538,1.86715
8.68,2.03343,1.53492
8.69,2.01127,1.96682
8.7,1.98891,1.76748
8.71,1.96635,1.72761
8.72,1.94359,1.5482
8.73,1.92064,1.39538
8.74,1.8975,1.88044
8.75,1.87417,1.70103
8.76,1.85065,1.89373
8.77,1.82695,1.43525
8.78,1.80306,1.42196
8.79,1.779,1.29571
8.8,1.75475,1.47511
8.81,1.73033,1.76748
8.82,1.70574,1.52163
8.83,1.68097,1.58807
8.84,1.65604,1.67445
8.85,1.63095,1.58807
8.86,1.60568,1.58807
8.87,1.58026,1.28242
8.88,1.55468,1.57478
8.89,1.52895,1.38209
8.9,1.50306,1.33558
8.91,1.47702,1.22926
8.92,1.45084,1.06314
8.93,1.42451,1.04321
8.94,1.39804,1.15617
8.95,1.37142,1.04321
8.96,1.34467,1.33558
8.97,1.31779,1.10301
8.98,1.29077,1.28242
8.99,1.26363,0.837226
9,1.23636,0.936896
9.01,1.20896,1.33558
9.02,1.18144,0.863805
9.03,1.15381,0.877094
9.04,1.12606,1.14288
9.05,1.0982,0.850516
9.06,1.07023,0.684399
9.07,1.04215,1.08972
9.08,1.01396,0.697689
9.09,0.985678,0.850516
9.1,0.957295,1.14288
9.11,0.928816,0.631242
9.12,0.900244,0.724267
9.13,0.871582,0.491704
9.14,0.842833,0.910318
9.15,0.814,0.531572
9.16,0.785085,0.644531
9.17,0.756092,0.531572
9.18,0.727023,0.58473
9.19,0.697881,0.757491
9.2,0.66867,0.365456
9.21,0.639391,0.338877
9.22,0.610049,0.312299
9.23,0.580646,0.292365
9.24,0.551185,0.279076
9.25,0.521668,0.491704
9.26,0.4921,0.531572
9.27,0.462482,0.18605
9.28,0.432818,0.239208
9.29,0.403111,0.212629
9.3,0.373363,0.365456
9.31,0.343578,0.239208
9.32,0.313759,0.212629
9.33,0.283908,0.212629
9.34,0.254029,0.365456
9.35,0.224125,0.265786
9.36,0.194198,-0.0265786
9.37,0.164252,-0
9.38,0.134289,-0
9.39,0.104313,-0
9.4,0.0743263,-0.0132893
9.41,0.0443323,-0.0132893
9.42,0.0143338,-0.0398679
9.43,-0.015666,-0.0398679
9.44,-0.0456644,-0.0132893
9.45,-0.0756581,-0
9.46,-0.105644,-0
9.47,-0.13562,-0.0132893
9.48,-0.165582,-0.0132893
9.49,-0.195527,-0
9.5,-0.225453,0.019934
